="Discrete time logit female"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",=""
="短大・高専・専門 # リスク経過年 # リスク経過年",="-0.006",="(0.004)",="",="",="-0.007†",="(0.004)",="",="",="-0.011*",="(0.005)",="",=""
="四大以上 # リスク経過年 # リスク経過年",="-0.012†",="(0.007)",="",="",="-0.007",="(0.005)",="",="",="-0.023***",="(0.007)",="",=""
="Constant",="-4.844**",="(1.524)",="",="",="-3.641*",="(1.563)",="",="",="-4.256**",="(1.388)",="",=""
="結婚_短大_高専_専門_",="",="",="",="",="",="",="",="",="",="",="",=""
="リスク経過年",="",="",="0.720*",="(0.335)",="",="",="0.345",="(0.220)",="",="",="0.407*",="(0.188)"
="リスク経過年 # リスク経過年",="",="",="-0.031†",="(0.017)",="",="",="-0.018†",="(0.010)",="",="",="-0.013",="(0.009)"
="本人学歴（ref:中学・高校）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="短大・高専・専門",="",="",="3.311",="(2.283)",="",="",="3.828*",="(1.666)",="",="",="0.051",="(1.599)"
="四大以上",="",="",="-8.406",="(11.764)",="",="",="-2.275",="(4.613)",="",="",="3.671",="(3.388)"
="初職従業上の地位（ref: 正規雇用）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="非正規雇用・自営業",="",="",="-1.023",="(0.638)",="",="",="0.208",="(0.310)",="",="",="0.805**",="(0.310)"
="無業",="",="",="-0.170",="(0.461)",="",="",="-0.496",="(0.480)",="",="",="0.628",="(0.407)"
="15歳時点の生活水準",="",="",="0.071",="(0.201)",="",="",="0.025",="(0.154)",="",="",="-0.138",="(0.158)"
="前年の親同居（ref: 非同居）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="同居",="",="",="-0.142",="(0.293)",="",="",="0.298",="(0.254)",="",="",="0.019",="(0.270)"
="父親学歴（ref: 中学校）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="高等学校",="",="",="0.285",="(0.344)",="",="",="0.104",="(0.298)",="",="",="0.559",="(0.359)"
="高等教育",="",="",="0.847†",="(0.439)",="",="",="0.477",="(0.403)",="",="",="0.608",="(0.417)"
="わからない",="",="",="-0.056",="(0.404)",="",="",="0.534",="(0.376)",="",="",="-0.083",="(0.551)"
="未婚異性（中学・高校）",="",="",="-0.003",="(0.011)",="",="",="-0.005",="(0.008)",="",="",="0.010",="(0.009)"
="未婚異性（短大・高専・専門）",="",="",="0.018†",="(0.011)",="",="",="0.023",="(0.021)",="",="",="-0.016",="(0.028)"
="未婚異性（四大以上）",="",="",="-0.012",="(0.015)",="",="",="-0.023",="(0.019)",="",="",="0.003",="(0.027)"
="短大・高専・専門 # リスク経過年",="",="",="-0.584",="(0.427)",="",="",="-0.626*",="(0.304)",="",="",="0.015",="(0.293)"
="四大以上 # リスク経過年",="",="",="1.122",="(1.755)",="",="",="0.351",="(0.712)",="",="",="-0.473",="(0.576)"
="短大・高専・専門 # リスク経過年 # リスク経過年",="",="",="0.027",="(0.019)",="",="",="0.028*",="(0.013)",="",="",="0.001",="(0.013)"
="四大以上 # リスク経過年 # リスク経過年",="",="",="-0.034",="(0.065)",="",="",="-0.005",="(0.026)",="",="",="0.016",="(0.023)"
="Constant",="",="",="-2.768",="(5.194)",="",="",="1.976",="(4.770)",="",="",="-4.901",="(3.928)"
="結婚_四大以上_",="",="",="",="",="",="",="",="",="",="",="",=""
="リスク経過年",="",="",="0.264†",="(0.141)",="",="",="0.486*",="(0.190)",="",="",="0.598**",="(0.226)"
="リスク経過年 # リスク経過年",="",="",="-0.006",="(0.006)",="",="",="-0.015*",="(0.008)",="",="",="-0.019†",="(0.010)"
="本人学歴（ref:中学・高校）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="短大・高専・専門",="",="",="3.062*",="(1.250)",="",="",="1.407",="(1.540)",="",="",="0.626",="(1.805)"
="四大以上",="",="",="6.423†",="(3.363)",="",="",="1.824",="(2.536)",="",="",="2.692",="(3.075)"
="初職従業上の地位（ref: 正規雇用）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="非正規雇用・自営業",="",="",="-0.106",="(0.325)",="",="",="-0.378",="(0.284)",="",="",="0.317",="(0.298)"
="無業",="",="",="-0.581†",="(0.321)",="",="",="-0.166",="(0.360)",="",="",="0.208",="(0.409)"
="15歳時点の生活水準",="",="",="0.077",="(0.141)",="",="",="0.177",="(0.130)",="",="",="-0.188",="(0.148)"
="前年の親同居（ref: 非同居）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="同居",="",="",="0.403†",="(0.208)",="",="",="0.115",="(0.209)",="",="",="0.162",="(0.250)"
="父親学歴（ref: 中学校）",="",="",="0.000",="(.)",="",="",="0.000",="(.)",="",="",="0.000",="(.)"
="高等学校",="",="",="0.574*",="(0.237)",="",="",="0.245",="(0.248)",="",="",="0.790*",="(0.359)"
="高等教育",="",="",="1.151***",="(0.309)",="",="",="0.876**",="(0.327)",="",="",="1.100**",="(0.399)"
="わからない",="",="",="-0.101",="(0.288)",="",="",="0.260",="(0.359)",="",="",="0.354",="(0.535)"
="未婚異性（中学・高校）",="",="",="0.005",="(0.007)",="",="",="-0.003",="(0.006)",="",="",="0.004",="(0.011)"
="未婚異性（短大・高専・専門）",="",="",="-0.001",="(0.007)",="",="",="0.011",="(0.018)",="",="",="0.019",="(0.027)"
="未婚異性（四大以上）",="",="",="0.012",="(0.010)",="",="",="-0.022",="(0.015)",="",="",="-0.015",="(0.029)"
="短大・高専・専門 # リスク経過年",="",="",="-0.228",="(0.218)",="",="",="0.011",="(0.264)",="",="",="-0.010",="(0.319)"
="四大以上 # リスク経過年",="",="",="-0.415",="(0.506)",="",="",="0.114",="(0.403)",="",="",="-0.061",="(0.511)"
="短大・高専・専門 # リスク経過年 # リスク経過年",="",="",="0.004",="(0.009)",="",="",="-0.003",="(0.011)",="",="",="0.001",="(0.013)"
="四大以上 # リスク経過年 # リスク経過年",="",="",="0.005",="(0.018)",="",="",="-0.002",="(0.015)",="",="",="0.002",="(0.020)"
="Constant",="",="",="-8.313*",="(3.313)",="",="",="1.076",="(3.808)",="",="",="-4.669",="(3.970)"
="Observations",="7250",="",="668",="",="9441",="",="662",="",="7382",="",="511",=""
="ll",="-1891.049",="",="-528.299",="",="-2098.267",="",="-558.961",="",="-1647.906",="",="-457.014",=""
="aic",="3820.099",="",="1132.597",="",="4234.534",="",="1193.921",="",="3333.812",="",="990.029",=""
="r2_p",="0.152",="",="0.172",="",="0.125",="",="0.166",="",="0.113",="",="0.158",=""
="Standard errors in parentheses"
="† p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
